stratum,filepath,area_km2,pools,density,area_weight,area_sp_km2,pools_est
high_income,967,56.3761,1112,19.724670560751807,0.3,456.3,9000.36717687105
low_income,180,10.494,89,8.481036782923576,0.25,380.25,3224.9142367066897
middle_income,240,13.991999999999999,132,9.433962264150944,0.45,684.45,6457.075471698114
