stratum,filepath,area_km2,pools,density,area_share,corr_factor,area_sp_km2,density_corr,pools_est
high_income,967,56.3761,1112,19.724670560751807,0.25,2.0,380.25,39.449341121503615,15000.61196145175
low_income,180,10.494,89,8.481036782923576,0.25,0.8,380.25,6.784829426338861,2579.931389365352
middle_income,240,13.991999999999999,132,9.433962264150944,0.5,1.3,760.5,12.264150943396228,9326.886792452831
